"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"Jan 2007","4.225,00","4.225,00","4.225,00","4.225,00","-","-3,91%"
"Déc 2006","4.397,00","4.397,00","4.397,00","4.397,00","-","1,41%"
"Nov 2006","4.336,00","4.336,00","4.336,00","4.336,00","-","7,41%"
"Oct 2006","4.037,00","4.037,00","4.037,00","4.037,00","-","2,36%"
"Sept 2006","3.944,00","3.944,00","3.944,00","3.944,00","-","2,52%"
"Août 2006","3.847,00","3.847,00","3.847,00","3.847,00","-","17,11%"
"Juill 2006","3.285,00","3.285,00","3.285,00","3.285,00","-","10,83%"
"Juin 2006","2.964,00","2.964,00","2.964,00","2.964,00","-","21,67%"
"Mai 2006","2.436,00","2.436,00","2.436,00","2.436,00","-","2,87%"
"Avr 2006","2.368,00","2.368,00","2.368,00","2.368,00","-","-5,13%"
"Mar 2006","2.496,00","2.496,00","2.496,00","2.496,00","-","-6,87%"
"Févr 2006","2.680,00","2.680,00","2.680,00","2.680,00","-","28,78%"
"Jan 2006","2.081,00","2.081,00","2.081,00","2.081,00","-","-13,54%"
"Déc 2005","2.407,00","2.407,00","2.407,00","2.407,00","-","-13,10%"
"Nov 2005","2.770,00","2.770,00","2.770,00","2.770,00","-","-11,02%"
"Oct 2005","3.113,00","3.113,00","3.113,00","3.113,00","-","7,09%"
"Sept 2005","2.907,00","2.907,00","2.907,00","2.907,00","-","12,15%"
"Août 2005","2.592,00","2.592,00","2.592,00","2.592,00","-","43,68%"
"Juill 2005","1.804,00","1.804,00","1.804,00","1.804,00","-","-28,44%"
"Juin 2005","2.521,00","2.521,00","2.521,00","2.521,00","-","-21,68%"
"Mai 2005","3.219,00","3.219,00","3.219,00","3.219,00","-","-16,39%"
"Avr 2005","3.850,00","3.850,00","3.850,00","3.850,00","-","-16,97%"
"Mar 2005","4.637,00","4.637,00","4.637,00","4.637,00","-","-1,88%"
"Févr 2005","4.726,00","4.726,00","4.726,00","4.726,00","-","5,30%"
"Jan 2005","4.488,00","4.488,00","4.488,00","4.488,00","-","-2,39%"
"Déc 2004","4.598,00","4.598,00","4.598,00","4.598,00","-","-24,01%"
"Nov 2004","6.051,00","6.051,00","6.051,00","6.051,00","-","22,94%"
"Oct 2004","4.922,00","4.922,00","4.922,00","4.922,00","-","19,90%"
"Sept 2004","4.105,00","4.105,00","4.105,00","4.105,00","-","-1,94%"
"Août 2004","4.186,00","4.186,00","4.186,00","4.186,00","-","3,41%"
"Juill 2004","4.048,00","4.048,00","4.048,00","4.048,00","-","34,71%"
"Juin 2004","3.005,00","3.005,00","3.005,00","3.005,00","-","-8,55%"
"Mai 2004","3.286,00","3.286,00","3.286,00","3.286,00","-","-16,98%"
"Avr 2004","3.958,00","3.958,00","3.958,00","3.958,00","-","-17,92%"
"Mar 2004","4.822,00","4.822,00","4.822,00","4.822,00","-","-8,38%"
"Févr 2004","5.263,00","5.263,00","5.263,00","5.263,00","-","-5,19%"
"Jan 2004","5.551,00","5.551,00","5.551,00","5.551,00","-","16,50%"
"Déc 2003","4.765,00","4.765,00","4.765,00","4.765,00","-","7,88%"
"Nov 2003","4.417,00","4.417,00","4.417,00","4.417,00","-","-3,03%"
"Oct 2003","4.555,00","4.555,00","4.555,00","4.555,00","-","52,19%"
"Sept 2003","2.993,00","2.993,00","2.993,00","2.993,00","-","32,14%"
"Août 2003","2.265,00","2.265,00","2.265,00","2.265,00","-","3,85%"
"Juill 2003","2.181,00","2.181,00","2.181,00","2.181,00","-","2,64%"
"Juin 2003","2.125,00","2.125,00","2.125,00","2.125,00","-","-0,09%"
"Mai 2003","2.127,00","2.127,00","2.127,00","2.127,00","-","-0,70%"
"Avr 2003","2.142,00","2.142,00","2.142,00","2.142,00","-","10,47%"
"Mar 2003","1.939,00","1.939,00","1.939,00","1.939,00","-","9,92%"
"Févr 2003","1.764,00","1.764,00","1.764,00","1.764,00","-","15,29%"
"Jan 2003","1.530,00","1.530,00","1.530,00","1.530,00","-","-11,97%"
"Déc 2002","1.738,00","1.738,00","1.738,00","1.738,00","-","11,41%"
"Nov 2002","1.560,00","1.560,00","1.560,00","1.560,00","-","10,09%"
"Oct 2002","1.417,00","1.417,00","1.417,00","1.417,00","-","3,66%"
"Sept 2002","1.367,00","1.367,00","1.367,00","1.367,00","-","31,95%"
"Août 2002","1.036,00","1.036,00","1.036,00","1.036,00","-","7,02%"
"Juill 2002","968,00","968,00","968,00","968,00","-","-3,68%"
"Juin 2002","1.005,00","1.005,00","1.005,00","1.005,00","-","-3,55%"
"Mai 2002","1.042,00","1.042,00","1.042,00","1.042,00","-","1,46%"
"Avr 2002","1.027,00","1.027,00","1.027,00","1.027,00","-","-5,08%"
"Mar 2002","1.082,00","1.082,00","1.082,00","1.082,00","-","4,95%"
"Févr 2002","1.031,00","1.031,00","1.031,00","1.031,00","-","13,55%"
"Jan 2002","908,00","908,00","908,00","908,00","-","3,65%"
"Déc 2001","876,00","876,00","876,00","876,00","-","0,92%"
"Nov 2001","868,00","868,00","868,00","868,00","-","0,81%"
"Oct 2001","861,00","861,00","861,00","861,00","-","-9,56%"
"Sept 2001","952,00","952,00","952,00","952,00","-","2,70%"
"Août 2001","927,00","927,00","927,00","927,00","-","-11,63%"
"Juill 2001","1.049,00","1.049,00","1.049,00","1.049,00","-","-24,31%"
"Juin 2001","1.386,00","1.386,00","1.386,00","1.386,00","-","-0,22%"
"Mai 2001","1.389,00","1.389,00","1.389,00","1.389,00","-","-4,80%"
"Avr 2001","1.459,00","1.459,00","1.459,00","1.459,00","-","1,46%"
"Mar 2001","1.438,00","1.438,00","1.438,00","1.438,00","-","-6,44%"
"Févr 2001","1.537,00","1.537,00","1.537,00","1.537,00","-","2,19%"
"Jan 2001","1.504,00","1.504,00","1.504,00","1.504,00","-","-5,94%"
"Déc 2000","1.599,00","1.599,00","1.599,00","1.599,00","-","-4,37%"
"Nov 2000","1.672,00","1.672,00","1.672,00","1.672,00","-","-4,95%"
"Oct 2000","1.759,00","1.759,00","1.759,00","1.759,00","-","1,15%"
"Sept 2000","1.739,00","1.739,00","1.739,00","1.739,00","-","5,27%"
"Août 2000","1.652,00","1.652,00","1.652,00","1.652,00","-","0,61%"
"Juill 2000","1.642,00","1.642,00","1.642,00","1.642,00","-","1,61%"
"Juin 2000","1.616,00","1.616,00","1.616,00","1.616,00","-","3,19%"
"Mai 2000","1.566,00","1.566,00","1.566,00","1.566,00","-","-3,81%"
"Avr 2000","1.628,00","1.628,00","1.628,00","1.628,00","-","-1,93%"
"Mar 2000","1.660,00","1.660,00","1.660,00","1.660,00","-","8,43%"
"Févr 2000","1.531,00","1.531,00","1.531,00","1.531,00","-","16,07%"
"Jan 2000","1.319,00","1.319,00","1.319,00","1.319,00","-","0,00%"
"Déc 1999","1.319,00","1.319,00","1.319,00","1.319,00","-","-2,37%"
"Nov 1999","1.351,00","1.351,00","1.351,00","1.351,00","-","0,00%"
"Oct 1999","1.351,00","1.351,00","1.351,00","1.351,00","-","8,69%"
"Sept 1999","1.243,00","1.243,00","1.243,00","1.243,00","-","19,75%"
"Août 1999","1.038,00","1.038,00","1.038,00","1.038,00","-","3,49%"
"Juill 1999","1.003,00","1.003,00","1.003,00","1.003,00","-","3,40%"
