"","Coffee2[-1, 1]","Rd_Long_Tot","Rd_Long_NoProd","Rd_Short_Tot","Rd_Short_NoProd","Rd_Net","Rd_Net_NoProd","Rd_Merc_Long","Rd_Merc_Short","Rd_Swap_Long","Rd_Swap_Short","Rd_Money_Long","Rd_Money_Short","Rd_Other_Long","Rd_Other_Short"
"58","2008-10-14",-4.04113530338304,-4.61491426864598,-4.12616121999658,-2.21027708496244,88,-2043,-3.46734925071406,-4.77873676968095,-4.41234253457541,28.2405015350937,-8.96971147249896,0.653663438669305,6.69084892185996,-43.634785114361
"59","2008-10-21",-0.903912414795016,-3.35370150495962,-1.27808804840388,2.6066469935305,420,-2658,1.47380364027185,-2.65416275529979,-3.38362565105168,16.7269532256372,-6.45735051323975,3.17044356701572,5.36827817849321,-18.3707445410999
"60","2008-10-28",-0.966387754338527,-4.33596069024773,-0.901171736871476,-0.834534335650261,-80,-2094,2.12459841995134,-0.925415265709439,-4.81519012144194,32.289595379931,-0.373867151997409,-6.38200223770973,-10.244776369778,16.313058772224
"61","2008-11-04",-0.93272423972568,0.974516225103095,-0.0223652605814806,-5.48776416433263,-1019,2111,-2.65770372379688,1.89503525795143,-2.67097360290549,-10.0700719293959,6.48954665082382,-4.98647070172566,19.5150946587825,-3.98695722654807
"62","2008-11-11",5.41319403952016,3.01508138097848,5.02683257965764,21.3443339679701,435,-5084,7.57213411891922,-1.1523236941132,-1.85832331726719,60.4582069981957,-5.34433605269466,3.18598776737655,49.1364030327686,89.6979545895238
"63","2008-11-18",-16.0670992459366,-9.13723674146425,-17.0513725994804,-10.9635074564794,969,-1177,-22.5896830574257,-19.7447735652885,-4.64150163056249,1.23627948196852,1.82548755865977,0.691134638557678,-58.7893138496767,-114.576271800134
"64","2008-11-25",-4.17897617073137,-0.811371584816989,-3.68023693355433,4.82306419381526,-518,-1954,-7.68768898320342,-7.86911469068219,-1.7055100561544,29.3255250604762,5.54298049393314,-5.80635713096171,-11.1394763535479,39.9900263474757
"65","2008-12-02",1.34026142978669,-0.227001172216745,1.21634861931987,3.95412136046094,127,-1439,3.00324151343485,-0.250921107527624,0.62748705852016,1.8786406376698,-4.2335293549284,1.85013817918023,3.9900305835717,24.8996930140544
"66","2008-12-09",4.907041821936,-3.33309663388039,4.25393611102329,7.70649932662657,694,-4370,12.8421137595909,2.31258922009019,-3.56216514457266,5.18427312286249,-7.21636669059098,10.129476211149,8.85970123258168,-3.27221530322106
"67","2008-12-16",-2.02939307364112,0.0997568509687241,-1.3289762489066,-5.31728253149542,-722,1961,-3.95916037160031,0.904377812525681,-1.26857950861332,2.57565162918052,-1.39835255836278,-4.61776816895174,13.5061074631338,-35.4921270399627
"68","2008-12-22",1.99515504072192,1.76248668612029,2.06957408442463,3.64125039534766,-63,-443,2.20987721605628,1.20601226076804,1.42677196925955,0.138600160787661,4.91346979581024,3.10073785494307,-2.79592591476856,20.416110040192
"69","2008-12-30",1.35080720271858,0.403292057119309,1.80852622323968,3.91116580311017,-465,-1251,2.21541575086182,0.619660102452535,-0.0626501012451541,-0.764689162459931,-3.85320014821779,6.30274381050153,12.4204280564451,-3.47429484438724
"70","2009-01-06",0.251618540423593,6.61253293842599,0.633736434160959,-11.5598246663849,-397,7487,-5.87090542360542,7.02346889574699,2.44385531893361,-1.27584103182592,18.0222920137032,-15.7229093242007,8.81320345592851,-6.44423256683035
"71","2009-01-13",-3.99862744169788,2.28913534518043,-3.70755090772086,-8.95295171695203,-280,4099,-10.878627990569,-1.29765348647251,-7.80134906256684,4.3678083998234,24.2984202146964,-14.0717417530677,6.46026874566932,-12.2217632724249
"72","2009-01-20",0.846211092727955,2.30516438465305,2.17022748625606,-1.24590810646819,-1354,1635,-0.886275174742757,3.64420504409466,-2.80980139774201,3.82747747596603,7.71135901721376,-4.04968420623302,13.0499048670528,2.19316466228276
"73","2009-01-27",4.19358856187113,7.45972048273522,4.13206563507362,-18.1058780887231,-17,9295,0.105191655729797,12.1932288530941,3.88083756610413,-15.9191945377456,9.56567956374741,-21.2509720388427,17.1516761783334,-3.15429045329418
"74","2009-02-03",-0.0753051562423224,-2.14801733076708,-0.466961944472466,-5.42512768029795,419,79,2.55390079181748,1.0261255611578,-0.835175876937022,-0.740838744072292,-7.05135408743907,-14.7624053658184,3.3126425283367,30.357788891598
"75","2009-02-10",-2.5144954384869,-2.81713693145029,-2.8320729893581,-6.81813098105444,367,-29,-2.14078093520254,-1.69923046452212,0.150659162207312,0.17932629373334,-10.301759050253,-10.4666946370365,0.58342555240749,-9.94014931061997
"76","2009-02-17",-0.639612920529942,-0.481491953342328,-0.84083063299758,19.4688129427044,214,-5093,-0.834552030648616,-7.28171301177944,-0.351891779479097,-5.30865573248835,5.28047087029027,30.8372104991177,-12.2914807369627,29.3748103541406
"77","2009-02-24",-5.98081145528528,1.09464932782828,-11.6263145263542,3.14551526477747,5358,-253,-15.472273704858,-17.5608772049639,0.273451789890089,-12.3823509849041,5.4779360423872,16.8414924678457,-5.3651697883943,-39.3398396688347
"78","2009-03-03",3.37862686461392,-2.08802609003804,8.24291709349509,16.2193577941885,-4556,-6126,10.8467684637189,4.47600324635644,1.67150417169566,-0.168157190125306,-6.93834678837835,22.7668256339831,-7.53021022043825,3.61134176536799
"79","2009-03-10",4.12481620186078,0.63117712097025,4.03841736505939,4.68291263669993,83,-1234,8.4279657470999,3.71414389377378,-1.30806109218362,4.32669835133215,2.34680332560799,6.16396195381128,5.481606233867,-8.93023287361858
"80","2009-03-17",4.75200705429106,0.868502851930941,5.88800760721213,-6.14145896275513,-1240,2553,9.16555961821786,11.4601896464009,-0.407396364157719,-0.322864970809889,8.74137764883347,-8.86276372017338,-13.5776285444956,4.68422019561325
"81","2009-03-24",0.887070681196533,4.29397865638439,1.47496770128619,-16.2039102947668,-663,7353,-2.96480677890241,8.11964782012176,2.71978107497812,8.50618076682288,6.67283851974112,-29.5586343086114,5.19295279067062,17.4130521086355
"82","2009-03-31",3.25725881310852,3.56174167779812,3.53199933305532,-1.93014003615062,-381,2666,2.89909486528774,5.2837103180444,1.78394978594483,8.99322679152288,7.13955162313464,-11.9132997059037,1.48439639890974,21.5424096971534
"83","2009-04-07",-0.746780269706981,0.429904301584294,-0.664129967476512,-12.2773403977817,-77,3405,-2.15356260220609,2.67092510201916,1.43951701197587,0,-0.630133839866431,-14.499307704002,-1.31837115512834,-33.8738954629904
"84","2009-04-14",-0.864081608774114,-0.656222949745988,-1.56789576139698,5.44894451273841,816,-1748,-1.11639784079163,-3.52301478065744,0.804566472651658,-0.805306960055852,-1.29170872533173,10.9118945594338,-6.31821800359589,-4.72406844467121
"85","2009-04-21",-7.82779748516162,2.54983948922298,-9.03172025592074,5.28314808506973,1367,195,-22.1048264940263,-13.619454937286,1.74296985328155,-45.8599812447851,5.56642459400933,26.5950231824441,-3.3652309785138,-7.66121725767466
"86","2009-04-28",-2.0608120604912,2.16274281562185,-1.93191507815911,-1.52019784896815,-125,1770,-9.01332315819694,-2.07723784759697,3.18244158737002,19.5289709598418,0.617525920020512,-2.79170721058559,1.81104719379608,-53.4359518659669
"87","2009-05-05",2.95726139580044,7.25908974986833,4.55341790105361,-13.6319402740238,-1683,8168,-5.00411849648827,10.2721254193638,2.55727492182238,-6.21027288939526,11.8426319566838,-20.3199814160127,16.824568838901,29.6771391526804
"88","2009-05-12",1.77768419246274,2.63350900365555,2.42612488098981,-24.0257838716328,-736,6747,0.0716424784551251,8.70255056309084,0.91099510275896,1.67382216957339,5.05517086163234,-38.5394527970082,2.93499327868716,-5.52441712952314
"89","2009-05-19",1.53942622325332,4.23207643977364,1.9896873903372,-6.99089406668492,-539,4269,-4.12900005842225,3.70057478594035,-0.867425676913847,1.42943659841546,12.2163782776774,-12.7276815879089,-0.093777219009894,-3.38422027335588
"90","2009-05-26",4.39877373182345,6.50211876413902,3.64097156814456,-3.08698058153336,721,5453,-0.379870343883937,4.80879445048235,2.85557335821149,2.81523242631021,9.10873579047262,-8.18283334114103,13.4954451436093,2.28816084371761
"91","2009-06-02",5.35216553215214,7.4731294152464,5.5745299134994,-1.53342290917546,-412,6338,0.17964614550241,6.71267239606212,1.80397665924037,1.67421811430746,12.4035016220464,-3.96972979837837,12.7069524401488,-1.34308588277765
"92","2009-06-09",-5.4407232547609,-7.1525102953288,-5.6750645036777,-17.7888058095505,428,-3211,-1.23709194273509,-3.93759309800732,-2.38510366118501,-4.95807064507137,-9.92649965545915,-30.0319365788589,-16.7091589116824,-13.1098811632156
"93","2009-06-16",-8.11530229738491,-14.0896928995998,-8.29968354696806,8.99849073766763,396,-11616,4.83602917829788,-10.8579708652112,2.52013705052629,-4.37199994464805,-32.348625527678,-0.232249606718327,-31.2195926438918,70.8775096294097
"94","2009-06-23",-8.73078866495458,-8.08376260899575,-10.3235060297832,4.44635468247139,1707,-5981,-10.0198892009725,-12.9542636527383,0.121892723574035,-13.268052042924,-26.8199453187325,26.7804703947,4.09552301476577,-16.8104394601124
"95","2009-06-30",0.73759798358406,-1.68855946711197,1.30436176759865,12.4865721368158,-547,-3108,5.44700612978808,-1.01933298622967,-3.09012611760391,-35.6074763866701,2.30979689685338,38.5011697306716,-5.0494253194417,-5.90889163700066
"96","2009-07-07",-1.07390392492341,-2.16972804650482,-1.71085995435245,8.29559134010527,615,-2843,0.947019479043831,-4.07722091006999,-0.41252636788478,-2.16614967811797,-4.60683530880299,12.6449048741661,-5.83361711898522,1.15275051710677
"97","2009-07-14",-2.66754274320142,-5.78362468368017,-2.35400697314745,9.81636169753113,-278,-5369,2.75348279320635,-5.66273782223874,-1.73559530121405,1.18997195792261,-15.5049102033795,14.3811702032078,-3.81517659643755,-4.69294322219831
"98","2009-07-21",-2.13228165126633,1.70698694973268,-0.862679203922312,-4.73021538221889,-1140,1954,-8.87992414451748,0.244907792221127,0.321771656335557,2.5072538439046,5.99072865703008,-5.78612050370033,-1.37984661784891,-9.15848238355199
"99","2009-07-28",-3.05197838440723,-0.245765821343191,-3.12839338147839,-8.79216098900351,123,1539,-8.47061701901985,-1.60201807286082,0.3017413568001,-9.09583795764064,-5.79430353003669,-11.9261090316121,11.6488753280436,10.479618155707
"100","2009-08-04",-1.68314722432346,5.09232634470198,-0.728625403495897,-32.5733469885494,-808,8124,-16.8887733570129,6.12076240605521,0.379280905476875,15.0490014615157,16.5301553620866,-58.6479917650447,2.44317203373914,0.759176990821242
"101","2009-08-11",4.07626074185092,9.71816157117313,3.86794392591945,-15.7536659057181,86,8167,-11.6477161341709,6.96481900076567,2.21952047783436,12.5880245889004,28.2972062285635,-47.6310647510498,-8.2927927019,9.75993833984594
"102","2009-08-18",-2.92443806215594,-3.87121692186945,-4.09417164832089,-31.92402735299,1104,526,-0.041462235408396,-0.734161673147504,-0.863230635621903,-15.8210647927492,-11.6540857823498,-17.1166496216259,6.83075433888547,-112.135368112722
"103","2009-08-25",-9.25716582668699,-7.25667123313407,-9.81218452166246,62.9932501355716,561,-11736,-15.483441427301,-21.49798324463,2.05153001710769,76.3708737044716,-28.7150182509169,54.7639596888708,0.0330906687333155,31.5365501200198
"104","2009-09-01",2.60265181630661,-0.403839511819903,1.94202587411745,30.7706203991817,518,-5792,11.775314895686,-6.40613476552137,4.00606761478421,10.514360006904,-12.6895431781909,60.1702154805247,1.60817381150355,-70.689310146458
"105","2009-09-08",2.7194989678879,2.44444187476773,3.65699086543607,12.2872159007844,-793,-1253,3.50517443243206,0.47344810990495,1.61390233416743,-2.2063133687535,6.27613747661702,22.8802605064011,-1.21193753280728,-12.9092421093896
"106","2009-09-15",4.10243900474772,7.71572302534373,4.7613693445502,-8.60409332519438,-624,6889,-6.93953112006458,9.53987563566692,1.68791748828774,1.94180858571009,14.1685755362028,-18.0277820133274,28.0488689083372,46.2842220691467
"107","2009-09-22",5.43021804676869,7.54159184888827,5.50830210319226,-20.7611053409812,-166,9282,-1.84811213786542,12.7761309825051,1.92475567843999,5.46731129796143,27.3823018353273,-49.7575024268158,-13.7772386881776,25.7491100172635
"108","2009-09-29",-4.13156548209574,-6.37204035061298,-3.846985158685,-7.78039306655476,-181,-3103,3.57030469166499,-2.95103161663857,-4.10801794814208,-2.49488599850025,-11.5759989843703,-18.9141265961496,-3.68121874100247,16.476735774187
"109","2009-10-06",1.99785670448609,3.37127003004074,2.97010272768059,9.52044595011987,-936,674,-2.63199027330234,1.45354930600554,1.85477484007261,1.47575493789631,3.63517569068996,17.996565172769,11.2449601615644,20.7588591759015
"110","2009-10-13",5.83211398068837,9.27964731599893,4.75873349044118,-1.78536069427402,870,7082,-7.16254530608467,6.27389749428495,-1.14718387221551,-0.198456514969614,29.6201042377746,-6.40958013854913,-0.0132459103445726,9.92029830433543
"111","2009-10-20",8.78885177076523,11.7298149038271,10.1132974208708,4.85392647747265,-1604,8621,-4.24686452118106,11.2460563871201,1.7691791716457,0.988367369331833,27.8182568577856,0.288642140073669,-3.69712910999311,37.7789369406137
"112","2009-10-27",-0.0125383988628158,0.551932287751811,-0.541632193355035,-5.4562010252873,567,1459,-2.76975707863318,0.453703962062946,3.08846849454838,-0.350301398171382,0.910955048613893,-6.87458511682735,-17.3862589588913,-22.4578418835168
"113","2009-11-03",0.481117117607077,0.541987956197332,0.394374605814463,-4.93545223979606,78,1314,0.178248041904716,1.4096728224839,1.77139973962586,-0.175611942837683,-0.688461691941633,-17.9423629557029,-0.557652749056814,11.3786455971898
"114","2009-11-09",6.4988383937008,2.47240949838456,5.84188322647528,-2.47929050102211,545,2581,24.4570303805533,7.3044429952958,1.91047858244957,-2.97697439652804,4.65102786313576,1.04732238895799,-7.54753032861544,-9.54932629245722
"115","2009-11-17",-13.8640865520626,-15.1979288910075,-13.7649646313129,-33.2258454769798,225,-7934,-8.69868404240108,-10.8488559319792,1.81688599271403,-53.6155039343969,-36.1462409069581,-5.08027894943073,-30.4976319454941,-41.0007129542666
